,title,originallink,link,description,pubDate
4,&quot;한국에서 돈 벌고 내가 쓴다&quot;…MZ 외국인도 변했다,https://www.dt.co.kr/contents.html?article_no=2024072202109963084005&ref=naver,https://n.news.naver.com/mnews/article/029/0002889339?sid=101,이번 데이터 분석은 해외송금 전문 <b>핀테크</b>사인 글로벌머니익스프레스(GME)와 협업해 진행했다. 최근 4년 상반기 기준으로 분석한 결과에 따르면 2021년 부모·형제·배우자에게 송금하는 비율은 58%를 차지한 반면... ,"Mon, 22 Jul 2024 10:55:00 +0900"
5,"더존 테크핀레이팅스, 매출채권팩토링 지원 확대해 中企 지원",http://www.joseilbo.com/news/news_read.php?uid=521738&class=17&grp=,https://n.news.naver.com/mnews/article/123/0002338740?sid=101,"더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 지난 19일 신한은행, SGI서울보증과 함께 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다. 이번 협약은 매출채권을 빠르게 현금화할 수 있는... ","Mon, 22 Jul 2024 10:53:00 +0900"
6,"BC카드 &quot;국내 외국인 근로자, 본인 계좌 송금 비율 높아&quot;",http://www.sentv.co.kr/news/view/691433,http://www.sentv.co.kr/news/view/691433,BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 'GME')가 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터 분석한 결과 부모∙형제∙배우자 등 가족 송금보다 본인 계좌 송금이... ,"Mon, 22 Jul 2024 10:52:00 +0900"
7,"더존 테크핀레이팅스-신한은행-SGI서울보증, 비대면 '매출채권팩토링' 으로 중...",https://www.digitaltoday.co.kr/news/articleView.html?idxno=526289,https://www.digitaltoday.co.kr/news/articleView.html?idxno=526289,"더존비즈온 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 19일 신한은행, SGI서울보증과 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다고 밝혔다. 이번 협약은 매출채권을 빠르게 현금화할 수 있는... ","Mon, 22 Jul 2024 10:52:00 +0900"
8,"태평양, 금감원 출신 김효봉 변호사 영입…가상자산 역량 강화",http://news.tf.co.kr/read/life/2117811.htm,https://n.news.naver.com/mnews/article/629/0000306413?sid=102,"김 변호사는 태평양 TMT(정보기술·방송·통신)그룹에 합류해 가상자산, <b>핀테크</b>, 자산운용 등 업무를 담당한다. 또 지난 5월 출범한 태평양 미래금융전략센터의 핵심 멤버로 활약하며 가상자산 분야의 규제 대응 업무를... ","Mon, 22 Jul 2024 10:51:00 +0900"
9,"더존 테크핀레이팅스, 신한은행‧SGI서울보증과 업무협약 체결",https://www.ezyeconomy.com/news/articleView.html?idxno=200661,https://www.ezyeconomy.com/news/articleView.html?idxno=200661,"더존비즈온의 <b>핀테크</b> 계열사인 테크핀레이팅스는 지난 19일 신한은행, SGI서울보증과 함께 '중소기업 공급맘금융 지원 확대를 위한 업무협약'을 체결했다고 22일 밝혔다. 이번 협약은 매출채권을 빠르게 현금화할 수 있는... ","Mon, 22 Jul 2024 10:44:00 +0900"
0,"인터넷銀 도전 나선 더존, 신한·SGI서울보증과 중소기업 유동성 지원",https://biz.chosun.com/industry/business-venture/2024/07/22/EC73JDECQ5GSFCIOIPUSEOBD5M/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001006430?sid=101,"비대면 ‘매출채권팩토링’으로 中企 매출채권 현금화 기업용 소프트웨어 회사 더존비즈온의 <b>핀테크</b>(금융+기술) 전문 계열사인 테크핀레이팅스는 19일 신한은행, SGI서울보증과 함께 ‘중소기업 공급망 금융 지원 확대를... ","Mon, 22 Jul 2024 10:44:00 +0900"
1,"와컴퍼니, 국내 최초 ‘전산경리 자격시험’ 시행… 실기 프로그램으로 웹케시...",http://www.globalepic.co.kr/view.php?ud=20240722103847117748439a4874_29,http://www.globalepic.co.kr/view.php?ud=20240722103847117748439a4874_29,B2B <b>핀테크</b> 전문 기업 웹케시(대표 강원주)가 최초 시행되는 ‘전산경리 자격시험’의 수험용 프로그램으로 ‘AI경리나라’가 채택됐다고 22일 밝혔다. 국내 최초 중소사업장 대상 경리업무 전문인력 양성을 위한... ,"Mon, 22 Jul 2024 10:42:00 +0900"
2,"더존 테크핀레이팅스, 신한은행·SGI서울보증과 中企 공급망금융 지원 협력",https://www.businessplus.kr/news/articleView.html?idxno=65542,https://www.businessplus.kr/news/articleView.html?idxno=65542,"/ 사진=테크핀레이팅스 더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 지난 19일 신한은행, SGI서울보증과 함께 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다고 22일 밝혔다. 이번 협약은... ","Mon, 22 Jul 2024 10:36:00 +0900"
3,라온시큐어 주가에 올라탈까...메타버스 플랫폼 전문기업 라온메타 설립 대박...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=278138,https://www.pinpointnews.co.kr/news/articleView.html?idxno=278138,사진=핀포인트 DB) <b>핀테크</b> 시장은 기술을 활용해 금융 서비스를 제공하는 회사를 의미하는 금융 기술의 약자이다. <b>핀테크</b>는 전통적인 금융 기관의 서비스에 비해 더 저렴하고 편리하며 접근성이 높은 금융 서비스를... ,"Mon, 22 Jul 2024 10:36:00 +0900"
4,"더존 테크핀레이팅스, '매출채권팩토링'으로 중소기업 공급망금융 지원 확대",https://www.insightkorea.co.kr/news/articleView.html?idxno=205506,https://www.insightkorea.co.kr/news/articleView.html?idxno=205506,"더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 19일 신한은행, SGI서울보증과 함께 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다고 22일 밝혔다. 이번 협약은 매출채권을 빠르게 현금화할 수 있는... ","Mon, 22 Jul 2024 10:30:00 +0900"
5,"더존-신한은행-SGI서울보증, '中企 공급망금융 지원 확대' 업무협약",http://www.sentv.co.kr/news/view/691421,http://www.sentv.co.kr/news/view/691421,"더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 지난 19일 신한은행, SGI서울보증과 함께 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다고 22일 밝혔다.이번 협약은 매출채권을 빠르게 현금화할 수... ","Mon, 22 Jul 2024 10:30:00 +0900"
6,트래블월렛 김형우 &quot;금융권 TSMC 꿈꾸죠&quot;,https://www.fetv.co.kr/news/article.html?no=170753,https://www.fetv.co.kr/news/article.html?no=170753,"C서비스 출시를 위해서는 B의 코어 시스템을 건드려야 하는데, 경력과 경험이 충분하지 않은 <b>핀테크</b>로선 바로 접근하는 게 쉽지 않다. 하지만 결제, 인프라 등 부가 서비스 시스템은 접근이 가능하다. 우리 클라우드를... ","Mon, 22 Jul 2024 10:28:00 +0900"
7,더존 테크핀레이팅스ㆍ신한은행ㆍSGI서울보증 업무협약…中企 공급망금융 지원...,https://www.etoday.co.kr/news/view/2382543,https://www.etoday.co.kr/news/view/2382543,"이투데이=정수천 기자 | 더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스는 19일 신한은행, SGI서울보증과 ‘중소기업 공급망금융 지원 확대를 위한 업무협약’을 체결했다고 22일 밝혔다. 이번 협약은 매출채권을... ","Mon, 22 Jul 2024 10:22:00 +0900"
8,“STO 법제화 절실…기업 조달 길 트고 국가 재정적자 해결도 가능”,http://www.edaily.co.kr/news/newspath.asp?newsid=01105366638957144,https://n.news.naver.com/mnews/article/018/0005794711?sid=101,강 회장은 기획재정부 국장 등 30년간 공직 생활을 거쳐 현재 △한국블록체인기업진흥협회 사무총장 △한국<b>핀테크</b>학회 부회장 △한국디지털자산사업자연합 회장으로 활동하고 있다. “STO 시장 열리려면 당국의 관심... ,"Mon, 22 Jul 2024 10:20:00 +0900"
9,더존 테크핀레이팅스-신한은행-SGI서울보증 업무협약,http://www.taxtimes.co.kr/news/article.html?no=265546,http://www.taxtimes.co.kr/news/article.html?no=265546,비대면 매출채권팩토링으로 中企 공급망금융 지원 확대 매출채권 빠르게 현금화할 수 있도록 지원…신청부터 실행까지 비대면 더존비즈온의 <b>핀테크</b> 전문 계열사인 테크핀레이팅스(대표‧옥형석)는 19일 신한은행(은행장... ,"Mon, 22 Jul 2024 10:18:00 +0900"
0,BC카드 “2030 외국인 근로자 늘며 가족 송금보단 저축…소비도 증가”,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8017512&ref=A,https://n.news.naver.com/mnews/article/056/0011766458?sid=101,BC카드와 해외 송금 전문 <b>핀테크</b>사 글로벌머니익스프레스사가 국내에 거주하는 외국인 근로자 100만여 명의 송금 및 소비 데이터를 분석한 결과 지난해 처음으로 본인 송금 비율이 20%를 돌파한 것으로 나타났습니다.... ,"Mon, 22 Jul 2024 10:06:00 +0900"
1,"강소 ICT 모임 '40도', 6주년 맞아 영역 확대...공식활동 강화",https://www.etnews.com/20240722000083,https://n.news.naver.com/mnews/article/030/0003225349?sid=105,"다양한 분야 멤버를 새로 받아들여 기존 소프트웨어(SW) 중심의 모임 성격을 뷰티, 바이오, <b>핀테크</b>, 건설 등 분야로 넓힌다. 40도는 최근 서울시 강남구 신사동 인근에서 발족 6주년 기념 및 신규 회원 환영회를 열었다고... ","Mon, 22 Jul 2024 10:05:00 +0900"
2,"국내 최초 전산경리 자격시험, 실기 프로그램에 웹케시 'AI경리나라' 활용",http://www.hansbiz.co.kr/news/articleView.html?idxno=704049,http://www.hansbiz.co.kr/news/articleView.html?idxno=704049,/웹케시그룹  최초로 시행되는 '전산경리 자격시험'의 수험용 프로그램으로 B2B <b>핀테크</b> 전문기업 웹케시(대표 강원주)의 'AI경리나라'가 채택됐다. 와컴퍼니 주관으로 시행된 자격시험은 중소사업장 대상 경리업무... ,"Mon, 22 Jul 2024 10:00:00 +0900"
3,"태평양, 금감원 출신 '가상자산 전문' 김효봉 변호사 영입",http://www.edaily.co.kr/news/newspath.asp?newsid=01876166638957144,https://n.news.naver.com/mnews/article/018/0005794655?sid=102,"김 변호사는 태평양 TMT(정보기술·방송·통신)그룹에서 가상자산, <b>핀테크</b>, 자산운용 등 업무를 담당한다. 또 지난 5월 출범한 태평양 미래금융전략센터 멤버로 가상자산 분야의 규제 대응 업무를 수행할 예정이다.... ","Mon, 22 Jul 2024 09:54:00 +0900"
4,"로펌 태평양, 금감원 출신 가상자산 전문 김효봉 변호사 영입",https://www.ebn.co.kr/news/view/1630422/?sc=Naver,https://www.ebn.co.kr/news/view/1630422/?sc=Naver,"김 변호사는 태평양 TMT(정보기술·방송·통신)그룹에서 가상자산, <b>핀테크</b>, 자산운용 등 업무를 맡게된다. 또 지난 5월 출범한 태평양 미래금융전략센터의 핵심 멤버로 활약하며 가상자산 분야의 규제 대응 업무를 수행할... ","Mon, 22 Jul 2024 09:48:00 +0900"
5,&quot;한국서 고생해 번 돈인데…&quot; MZ 외국인 근로자들 '돌변',https://www.hankyung.com/article/2024072294947,https://n.news.naver.com/mnews/article/015/0005012577?sid=101,"BC카드는 해외송금 전문 <b>핀테크</b>사 '글로벌머니익스프레스(GME)'와 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터를 분석한 결과, 부모·형제·배우자 등 가족 송금보다 본인 계좌 송금이 증가했다고... ","Mon, 22 Jul 2024 09:48:00 +0900"
6,"BC카드, 외국인 근로자 송금·소비 데이터 분석...&quot;가족 먹여 살리려&quot;는 옛말",http://www.paxetv.com/news/articleView.html?idxno=207996,http://www.paxetv.com/news/articleView.html?idxno=207996,BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 'GME')가 국내 거주 외국인 근로자 100만여명의 송금·소비 데이터를 분석했다고 22일 밝혔습니다. BC카드에 따르면 국내 거주 외국인 근로자들의 부모·형제... ,"Mon, 22 Jul 2024 09:46:00 +0900"
7,BC카드 &quot;외국인 근로자 고국 가족에 송금 50% 밑으로&quot;,https://biz.sbs.co.kr/article_hub/20000182893?division=NAVER,https://n.news.naver.com/mnews/article/374/0000393823?sid=101,BC카드는 해외송금 전문 <b>핀테크</b> 글로벌머니익스프레스(GME)와 협업해 국내 거주 외국인 근로자 100만여명의 송금·소비 데이터를 분석했다고 오늘(22일) 밝혔습니다. 이에 따르면 지난 2021년 외국인 근로자들이 부모... ,"Mon, 22 Jul 2024 09:45:00 +0900"
8,"외국인 근로자 이젠 '나를 위해' 소비…비씨카드·GME, 데이터 분석결과 발표",https://www.etnews.com/20240722000054,https://n.news.naver.com/mnews/article/030/0003225324?sid=101,비씨카드는 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)와 국내 거주 외국인 근로자 100만여명 송금 및 소비 데이터를 분석한 결과 본인 계좌 송금이 증가한 것으로 나타났다고 22일 밝혔다. 지난 2021년 부모... ,"Mon, 22 Jul 2024 09:44:00 +0900"
9,"BC카드 &quot;코리안 드림은 옛말…국내 외국인 근로자, 나를 위한 저축·소비한다...",https://www.insightkorea.co.kr/news/articleView.html?idxno=205476,https://www.insightkorea.co.kr/news/articleView.html?idxno=205476,&quot;코리안 드림(Korean Dream)보다는 마이 드림(My Dream)을 위해 돈을 벌고 소비한다&quot; BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 GME)가 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터... ,"Mon, 22 Jul 2024 09:42:00 +0900"
0,"태평양, 금감원 출신 가상자산 전문가 김효봉 변호사 영입",https://news.heraldcorp.com/view.php?ud=20240722050143,https://n.news.naver.com/mnews/article/016/0002338663?sid=101,"김 변호사는 태평양 TMT(정보기술·방송·통신)그룹에서 가상자산, <b>핀테크</b>, 자산운용 등 업무를 담당한다. 또 지난 5월 출범한 태평양 미래금융전략센터의 핵심 멤버로 활약하며 가상자산 분야의 규제 대응 업무를 수행할... ","Mon, 22 Jul 2024 09:39:00 +0900"
1,전금업자 뭉친다…핀산협 산하 협의회 내달 6일 출범,https://view.asiae.co.kr/article/2024072209321091912,https://n.news.naver.com/mnews/article/277/0005448742?sid=101,전금업자 100곳 이상이 합류하며 <b>핀테크</b>산업협회 내 최대 규모의 협의회가 된다. 전자금융거래법 시행령... <b>핀테크</b>(금융+기술) 업계 전체를 대상으로 한 개인정보보호·자금세탁방지·정보보안 등 협의회를 제외하면... ,"Mon, 22 Jul 2024 09:36:00 +0900"
2,“코리안드림? 가족 부양은 옛말” 국내 외국인근로자 번 돈 ‘나 혼자 쓴다’,https://news.heraldcorp.com/view.php?ud=20240722050133,https://n.news.naver.com/mnews/article/016/0002338655?sid=101,BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 GME)가 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터를 분석한 결과 부모·형제·배우자 등 가족 송금보다 본인 계좌 송금이... ,"Mon, 22 Jul 2024 09:32:00 +0900"
3,외국인 근로자 '가족 먹여 살리려' 옛말?…본인 계좌 송금 증가,https://news.sbs.co.kr/news/endPage.do?news_id=N1007731480&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001174106?sid=101,BC카드는 해외송금 전문 <b>핀테크</b>사 '글로벌머니익스프레스(GME)'와 협업해 국내 거주 외국인 근로자 100만여 명의 송금 및 소비 데이터를 분석한 결과 부모·형제·배우자 등 가족 송금보다 본인 계좌 송금이 증가했다고... ,"Mon, 22 Jul 2024 09:28:00 +0900"
4,"&quot;'코리안 드림'은 옛말…외국인 근로자, 본인 위한 저축·소비↑&quot;",https://www.pointdaily.co.kr/news/articleView.html?idxno=211672,https://www.pointdaily.co.kr/news/articleView.html?idxno=211672,사진=BC카드 &quot;코리안 드림(Korean Dream)보다는 마이 드림(My Dream)을 위해 돈을 벌고 소비한다&quot; BC카드는 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)와 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비... ,"Mon, 22 Jul 2024 09:24:00 +0900"
5,외국인 근로자 '가족먹여 살리려' 옛말?…본인계좌 송금 증가,https://www.yna.co.kr/view/AKR20240722038400002?input=1195m,https://n.news.naver.com/mnews/article/001/0014820345?sid=101,BC카드는 해외송금 전문 <b>핀테크</b>사 '글로벌머니익스프레스(GME)'와 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터를 분석한 결과 부모·형제·배우자 등 가족 송금보다 본인 계좌 송금이 증가했다고... ,"Mon, 22 Jul 2024 09:21:00 +0900"
6,"&quot;iM뱅크, 시중은행 전환했다고 고객 찾겠나?&quot;",https://www.meconomynews.com/news/articleView.html?idxno=97094,https://www.meconomynews.com/news/articleView.html?idxno=97094,"효과는 '글쎄' 자본력 부족·지역 내 입지 좁아져 &quot;당국 지원 필요&quot; 토스뱅크·<b>핀테크</b> 등 협력 통한 돌파구... 또 <b>핀테크</b>기업 '핀다'에서도 햇살론뱅크, 자동차담보대출 등 다양한 대출 상품을 판매하고 있다. 다만 이런... ","Mon, 22 Jul 2024 09:14:00 +0900"
7,"[더벨][VC People &amp; Movement] 디티앤인베, '베테랑' 김형석 전 알파원인베 대...",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202407161357353880101252,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202407161357353880101252,이외에 △에듀테크 '아이스크림에듀' △AI 검사 설비 전문 '트윔' △체외진단 의료기기 '미코바이오메드' △신선식품 배송 전문 '컬리' △엑소좀 기반 바이오 신약 '엑소코바이오' △<b>핀테크</b> '밸런스히어로' 등이 그의... ,"Mon, 22 Jul 2024 09:12:00 +0900"
8,“가족 먹여 살리려”는 옛말…나를 위한 저축과 소비한다,https://www.etoday.co.kr/news/view/2382434,https://www.etoday.co.kr/news/view/2382434,이투데이=정상원 기자 | BC카드-GME 국내 거주 외국인 근로자 데이터 분석 국내 외국인 근로자 100만여명…4개년 본인 계좌 송금 비율 높아 BC카드는 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)과 협업해 국내... ,"Mon, 22 Jul 2024 09:08:00 +0900"
9,"BC카드 “외국인 근로자, 본인 위해 돈 쓴다…가족계좌 송금 비율 하락”",https://mydaily.co.kr/page/view/2024072208475003186,https://n.news.naver.com/mnews/article/117/0003853703?sid=103,22일 BC카드는 해외송금 전문 <b>핀테크</b>(금융+기술)사 글로벌머니익스프레스(이하 GME)와 협업해 외국인 근로자 100만여명 데이터를 분석한 결과 이같이 드러났다고 밝혔다. 최근 4개년 상반기 확인 결과 2021년 부모·형제... ,"Mon, 22 Jul 2024 08:49:00 +0900"
0,“가족 먹여 살린다”는 옛말…MZ 외노자들은 달랐다,http://www.edaily.co.kr/news/newspath.asp?newsid=01512086638957144,https://n.news.naver.com/mnews/article/018/0005794532?sid=101,BC카드는 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)과 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터 분석결과 부모·형제·배우자 등 가족 송금보다 본인 계좌 송금이 증가했다고 22일... ,"Mon, 22 Jul 2024 08:46:00 +0900"
