증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스닥,  아이퀘스트 ,262840,소프트웨어 개발 및 공급업,"패키지 ERP, 구축형 ERP 등",2021-02-05,12월,김순모,http://www.iquest.co.kr,서울특별시
유가증권,  프레스티지바이오파마 ,SGP070,자연과학 및 공학 연구개발업,바이오시밀러 및 항체의약품 신약,2021-02-05,06월,박소연,http://www.prestigebiopharma.com,싱가포르
"코스닥, KOSDAQ150, KRX300",  레인보우로보틱스   ,277810,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2021-02-03,12월,이정호,http://www.rainbow-robotics.com/new/index_ko.php,대전광역시
코스닥,  아티스트유나이티드 ,321820,소프트웨어 개발 및 공급업,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,2021-02-03,12월,이태성,http://www.widerplanet.com,서울특별시
"유가증권, KRX300",  솔루엠  ,248070,전자부품 제조업,"POWER, 3in1 Board, ESL 등",2021-02-02,12월,전성호,http://www.solum-group.co.kr,경기도
코스닥,  핑거 ,163730,소프트웨어 개발 및 공급업,"스마트 금융 플랫폼, 핀테크 금융 솔루션",2021-01-29,12월,안인주,http://www.finger.co.kr,서울특별시
코스닥,  모비릭스 ,348030,소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱,2021-01-28,12월,임중수,http://www.mobirix.com,서울특별시
코스닥,  씨앤투스 ,352700,기타 섬유제품 제조업,"에어필터, 산업용 및 보건용 마스크",2021-01-28,12월,하춘욱,http://cntus.com,부산광역시
코스닥,  선진뷰티사이언스 ,086710,기타 화학제품 제조업,화장품 원료,2021-01-27,12월,이성호,http://sunjinbs.co.kr,서울특별시
"유가증권, KOSPI200, KRX300",  DL이앤씨   ,375500,토목 건설업,토목 건설 사업,2021-01-25,12월,서영재,,서울특별시
코스닥,  엔비티 ,236810,광고업,모바일 포인트 광고 플랫폼,2021-01-21,12월,박수근,http://nbt.com/,서울특별시
코스닥,  파이버프로 ,368770,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",광섬유 관성센서 및 관성 측정장치,2021-01-21,12월,고연완,http://www.fiberpro.com,대전광역시
코넥스,  나우코스 ,257990,기타 화학제품 제조업,"화장품, 동물용의약외품",2020-12-30,12월,김태원..,http://www.nowcos.com/,세종특별자치시
코넥스,  루트락 ,253610,기타 전문 도매업,"인공슬관절, 척추 임플란트(의료기기 도·소매)",2020-12-24,12월,박종진,http://rootloc.com/,서울특별시
유가증권,  ESR켄달스퀘어리츠 ,365550,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,조주현,http://www.esrks-reit.com,서울특별시
코스닥,  블리츠웨이스튜디오 ,369370,"인형,장난감 및 오락용품 제조업",피규어 제조 및 판매,2020-12-23,12월,최승원..,http://blitzway.com,서울특별시
코스닥,  석경에이티 ,357550,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,2020-12-23,12월,임형섭,http://www.sukgyung.com,경기도
코스닥,  지놈앤컴퍼니 ,314130,기초 의약물질 제조업,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품",2020-12-23,12월,홍유석..,http://genomecom.co.kr,경기도
코스닥,  프리시젼바이오 ,335810,의료용 기기 제조업,체외진단 기기 및 시약,2020-12-22,12월,김한신,http://precision-bio.com/,대전광역시
"코스닥, 투자주의환기종목",  알체라  ,347860,소프트웨어 개발 및 공급업,"얼굴인식 AI, 이상상황 감지 AI 등",2020-12-21,12월,황영규,http://www.alchera.ai,경기도
코스닥,  하이딥 ,365590,반도체 제조업,UIUX Solution,2020-12-21,12월,고범규,http://www.hideep.com,경기도
코스닥,  에프앤가이드 ,064850,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등",2020-12-17,12월,이철순,http://www.fnguide.com,서울특별시
코스닥,  티엘비 ,356860,전자부품 제조업,SSD Module / DRAM Module PCB,2020-12-14,12월,백성현,http://www.tlbpcb.com,경기도
코넥스,  씨엔티드림 ,286000,기타 화학제품 제조업,화장품 제조 및 도소매,2020-12-11,12월,안태우,http://www.cntdream.com,충청남도
코스닥,  인바이오 ,352940,"비료, 농약 및 살균, 살충제 제조업","살균제, 살충제, 제초제 등",2020-12-11,12월,이명재,http://enbio.co.kr,경기도
코스닥,  엔젠바이오 ,354200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",2020-12-10,12월,최대출,http://ngenebio.com,서울특별시
"코스닥, 투자경고종목",  퀀타매트릭스  ,317690,의료용 기기 제조업,신속항균제검사 장비 및 키트,2020-12-09,12월,권성훈,http://www.quantamatrix.com,서울특별시
"유가증권, KOSPI200, KRX300",  명신산업   ,009900,자동차 신품 부품 제조업,자동차차체부품,2020-12-07,12월,최우철,http://www.myoungshinindustry.com,경상북도
코스닥,  클리노믹스 ,352770,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",2020-12-04,12월,김병철..,http://www.clinomics.com,울산광역시
코스닥,  포인트모바일 ,318020,컴퓨터 및 주변장치 제조업,산업용 PDA,2020-12-03,12월,이철환,http://pointmobile.com,서울특별시
코스닥,  앱코 ,129890,컴퓨터 및 주변장치 제조업,"게이밍기어, 뉴라이프가전 등",2020-12-02,12월,오광근,http://www.abko.co.kr,서울특별시
코스닥,  엔에프씨 ,265740,기타 화학제품 제조업,화장품 원료 제조 및 판매,2020-12-02,12월,유우영,http://nfccosmetics.co.kr,인천광역시
코스닥,  제일일렉트릭 ,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","PCB Assay, 배선기구, 분전반 등",2020-11-26,12월,강동욱,http://www.cheilelec.com,부산광역시
"코스닥, KOSDAQ150, 불성실공시",  하나기술   ,299030,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,2020-11-25,12월,오태봉,http://www.hn-tech.co.kr,경기도
유가증권,  에이플러스에셋 ,244920,보험 및 연금관련 서비스업,보험대리 및 중개업,2020-11-20,12월,곽근호..,,서울특별시
코스닥,  티앤엘 ,340570,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재",2020-11-20,12월,최윤소,http://www.tnl.co.kr/,경기도
코스닥,  고바이오랩 ,348150,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품,2020-11-18,12월,고광표,http://kobiolabs.com,서울특별시
코스닥,  네패스아크 ,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스,2020-11-17,12월,이창우..,http://www.nepesark.co.kr,충청북도
유가증권,  교촌에프앤비 ,339770,음·식료품 및 담배 도매업,치킨 프랜차이즈,2020-11-12,12월,송종화,http://kyochonfnb.com,경상북도
코스닥,  소룩스 ,290690,전구 및 조명장치 제조업,"실내등(형광등, LED등), 실외등, 특수등",2020-11-06,12월,정재준,http://www.solux.co.kr,충청남도
코스닥,  위드텍 ,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS",2020-10-30,12월,유승교..,http://www.withtech.co.kr,대전광역시
코스닥,  센코 ,347000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템",2020-10-29,12월,하승철,http://www.senko.co.kr,경기도
